Repo,ID,Bedeutung
TRANS,H,Höhe
KANAL,B,Breite
WARB,T,Tiefe
Virtuell,VAR1–VAR9,unbekannte Position
Meta,VARX,universelle Position
Orbit,VAR∞,unendliche Position
